User;Activity;realtime;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
2;1;5904;6473;64;;64302993;0.117;-0.964;0.031;3.9;-1.2;5.8;-1370.5;258.5;-304.5;-1.1;-12.2;256.4;101949;0;1;1;19;18;24.28;41.01;0.127;0.001704;
2;1;5905;6474;64;;64302993;0.108;-0.976;0.033;4.6;-3.9;4.5;-1369;249.5;-300;-1.1;-12.1;256.4;101949;0;1;1;20;20;24.26;41.05;0.0635;0.003408;
2;1;5906;6475;64;;64302993;0.113;-0.994;0.032;4.1;-5.1;4.1;-1363;252.5;-297;-1.2;-12;256.4;101949;0;1;1;20;20;24.26;41.05;0.0635;0.003408;
2;1;5907;6476;64;;64302994;0.108;-1.03;0.025;3.2;-7.4;3.3;-1370.5;257;-307.5;-1.2;-11.9;256.4;101949;0;1;1;20;20;24.26;41.05;0.0635;0.003408;
2;1;5908;6477;64;;64302994;0.107;-1.049;0.022;2.7;-8;3.6;-1367.5;257;-303;-1.3;-11.6;256.3;101949;0;1;1;20;20;24.26;41.05;0.0635;0.003408;
2;1;5909;6478;64;;64302994;0.117;-1.092;0.024;3;-8.4;2.9;-1364.5;252.5;-294;-1.3;-11.6;256.2;101949;0;1;1;20;20;24.26;41.05;0.0635;0.003408;
2;1;5910;6479;64;;64302995;0.123;-1.133;0.03;3.6;-8.3;1;-1373.5;254;-307.5;-1.3;-11.5;256.1;101949;0;1;1;20;20;24.26;41.05;0.0635;0.003408;
2;1;5911;6480;65;;64303288;0.118;-1.146;0.031;3.1;-7.9;-1.5;-1373.5;252.5;-301.5;-1.3;-11.5;256;101951;0;1;1;20;20;24.26;41.05;0.1905;0.00426;
2;1;5912;6481;65;;64303288;0.113;-1.15;0.028;1.6;-7.4;-3.7;-1366;249.5;-300;-1.3;-11.5;255.9;101951;0;1;1;20;20;24.26;41.05;0.1905;0.00426;
2;1;5913;6482;65;;64303289;0.128;-1.216;0.04;0;-7;-6.6;-1373.5;252.5;-306;-1.3;-11.6;255.8;101951;0;1;1;20;20;24.26;41.05;0.1905;0.00426;
2;1;5914;6483;65;;64303289;0.131;-1.289;0.052;-1.5;-7.5;-12.2;-1370.5;254;-294;-1.2;-11.8;255.7;101951;0;1;1;20;20;24.26;41.05;0.1905;0.00426;
2;1;5915;6484;65;;64303290;0.129;-1.312;0.069;-3.4;-9.4;-19;-1376.5;251;-306;-1.1;-12.1;255.6;101951;0;1;1;20;20;24.26;41.05;0.1905;0.00426;
2;1;5916;6485;65;;64303290;0.156;-1.38;0.094;-3.8;-10.7;-25.1;-1372;251;-298.5;-1.1;-12.4;255.5;101951;0;1;1;20;20;24.26;41.04;0;0.003408;
2;1;5917;6486;65;;64303291;0.116;-1.296;0.102;-2.3;-12.6;-30.1;-1379.5;257;-300;-0.9;-13;255.4;101951;0;1;1;20;20;24.26;41.04;0;0.003408;
2;1;5918;6487;65;;64303291;0.085;-1.096;0.109;-7.4;-16.5;-28.1;-1387;258.5;-298.5;-0.7;-13.4;255.2;101951;0;1;1;20;20;24.26;41.04;0;0.003408;
2;1;5919;6488;65;;64303292;0.077;-0.98;0.109;-9.2;-18.4;-22.5;-1388.5;258.5;-292.5;-0.5;-13.9;255;101951;0;1;1;20;20;24.26;41.04;0;0.003408;
2;1;5920;6489;65;;64303292;0.103;-1.029;0.114;-7.9;-19;-14.6;-1394.5;264.5;-292.5;-0.3;-14.4;254.7;101951;0;1;1;20;20;24.26;41.04;0.0635;0.00426;
2;1;5921;6490;65;;64303293;0.114;-1.115;0.114;-4.6;-19.8;-8.9;-1402;266;-288;-0.1;-14.6;254.5;101951;0;1;1;20;20;24.26;41.04;0.0635;0.00426;
2;1;5922;6491;65;;64303293;0.086;-0.992;0.1;-1.6;-21.3;-4.4;-1403.5;272;-288;0.1;-14.9;254.2;101951;0;1;1;20;20;24.26;41.04;0.0635;0.00426;
2;1;5923;6492;65;;64303294;0.088;-0.966;0.095;-1;-23.6;1.6;-1405;261.5;-288;0.2;-14.9;253.9;101951;0;1;1;20;20;24.26;41.04;0.0635;0.00426;
2;1;5924;6493;65;;64303294;0.091;-0.992;0.091;0.9;-25.4;6.7;-1403.5;261.5;-280.5;0.4;-14.9;253.5;101951;0;1;1;20;20;24.26;41.04;0.0635;0.00426;
2;1;5925;6494;65;;64303295;0.102;-1.006;0.091;3.8;-26.4;11.9;-1406.5;260;-282;0.4;-14.7;253;101951;0;1;1;20;20;24.26;41.04;0.0635;0.00426;
